"","scenario","X","ID","dfs","fss"
"2","gamified",2,"P02",3.66666666666667,3.88888888888889
"4","gamified",4,"P04",3.55555555555556,4.55555555555556
"5","gamified",5,"P05",3.77777777777778,2.88888888888889
"6","gamified",6,"P06",3.77777777777778,3.44444444444444
"8","gamified",8,"P08",3.66666666666667,4.55555555555556
"9","gamified",9,"P09",3.83333333333333,2.88888888888889
"10","gamified",10,"P10",3.11111111111111,3.33333333333333
"11","gamified",11,"P11",3.44444444444444,3
"12","gamified",12,"P12",2.77777777777778,3.11111111111111
"13","gamified",13,"P13",3.77777777777778,3.44444444444444
"14","gamified",14,"P14",2.77777777777778,4
"15","gamified",15,"P15",2.72222222222222,4.55555555555556
"16","gamified",16,"P16",3,4.44444444444444
"17","non.gamified",17,"P17",3.44444444444444,3.88888888888889
"18","non.gamified",18,"P18",3.22222222222222,3.22222222222222
"19","non.gamified",19,"P19",3.77777777777778,2.66666666666667
"20","non.gamified",20,"P20",3.88888888888889,3.33333333333333
"21","non.gamified",21,"P21",3.88888888888889,3.22222222222222
"22","non.gamified",22,"P22",3.11111111111111,3.66666666666667
"23","non.gamified",23,"P23",3.88888888888889,3.22222222222222
"24","non.gamified",24,"P24",3.77777777777778,4.44444444444444
"25","non.gamified",25,"P25",3,3.22222222222222
"26","non.gamified",26,"P26",3.55555555555556,3.55555555555556
"27","non.gamified",27,"P27",3.22222222222222,3.44444444444444
"28","non.gamified",28,"P28",4,4
"29","non.gamified",29,"P29",4,3.88888888888889
"30","non.gamified",30,"P30",3.88888888888889,3.55555555555556
"31","non.gamified",31,"P31",2.88888888888889,2.66666666666667
"32","non.gamified",32,"P32",4.02777777777778,4.47222222222222
